firm,year,quarter,total_assets,current_assets,inventory,total_liabilities,short_term_debt,equity,revenue,cogs,operating_profit,interest_expense,net_income,cfo,capex,avg_total_assets,avg_equity,avg_inventory,ROA,ROE,NPM,TATO,ITO,DAR,DER,ICR,CR,QR,capex_abs,CFO_TA,FCF,FCF_TA,SIZE,REV_GROWTH_QOQ,REV_GROWTH_YOY,ROA_lag1,ROA_lag2,ROA_lag4
PVR,2015,3,1062747016252.0,1003584257531.0,718283727021.0,544618602120.0,544618602120.0,518128414132.0,2958469091.0,-2875047438.0,-930785686.0,0.0,-2010485686.0,0.0,0.0,1064207501465.0,519133656975.0,717996771486.0,-0.00188918578682479,-0.00387277083461537,-0.6795696098756369,0.0027799739119742516,-0.00400426234793461,0.5124630733292591,1.0511266845544034,,1.8427285693592093,0.5238538114552641,0.0,0.0,0.0,0.0,27.691878196608563,,,-0.0053810322773389305,-0.001224565414642604,-0.0017832844544335847
PVR,2015,4,1069751441673.0,1010722656000.0,723389925517.0,554903290409.0,554903290409.0,514848151264.0,0.0,0.0,-3280262868.0,0.0,-3280262868.0,0.0,0.0,1066249228962.5,516488282698.0,720836826269.0,-0.0030764504009928497,-0.006351088645931642,,0.0,0.0,0.5187217037456651,1.0777999086656151,,1.8214392912592594,0.5178068601309194,0.0,0.0,0.0,0.0,27.69844743991525,-1.0,-1.0,-0.00188918578682479,-0.0053810322773389305,0.0028566474628311384
PVR,2016,1,1052681848126.0,312642641643.0,34163033393.0,553737560872.0,553737560872.0,498944287254.0,0.0,0.0,-796512351.0,0.0,-789352351.0,-5963338833.0,-18825077.0,1061216644899.5,506896219259.0,378776479455.0,-0.0007438182908210545,-0.0015572267478220789,,0.0,0.0,0.5260255620991013,1.109818420648849,,0.5646043608648562,0.5029090094799843,18825077.0,-0.00561934159406701,-5982163910.0,-0.005637080740065594,27.68236216489553,,,-0.0030764504009928497,-0.00188918578682479,-0.001224565414642604
PVR,2016,2,1038362238978.0,786484657106.0,727204983761.0,550418024963.0,550418024963.0,487944214015.0,0.0,0.0,-1100073239.0,0.0,-1100073239.0,931288444.0,18825077.0,1045522043552.0,493444250634.5,380684008577.0,-0.0010521760356794303,-0.0022293769510648067,,0.0,0.0,0.5300828596239638,1.1280347407625566,,1.4288860855508299,0.10769936785588531,18825077.0,0.0008907401328776302,912463367.0,0.0008727346999782486,27.668665817614457,,,-0.0007438182908210545,-0.0030764504009928497,-0.0053810322773389305
PVR,2016,3,1005912248792.0,754076001758.0,693153052675.0,516436820886.0,516436820886.0,489475427906.0,37059483722.0,-34606765080.0,1531213891.0,0.0,1531213891.0,-965552000.0,0.0,1022137243885.0,488709820960.5,710179018218.0,0.0014980511669646936,0.0031331760184204697,0.04131773401071451,0.03625685683963742,-0.0487296360385811,0.5134014637024144,1.0550822195413203,,1.4601515059757082,0.117967864836749,0.0,-0.0009446402680036123,-965552000.0,-0.0009446402680036123,27.63691595596057,,11.526574583705868,-0.0010521760356794303,-0.0007438182908210545,-0.00188918578682479
PVR,2016,4,996568985468.0,744884741454.0,693393686667.0,508729988785.0,508729988785.0,487838996683.0,0.0,-198654457.0,-1310967325.0,0.0,-1636431223.0,3773936842.0,0.0,1001240617130.0,488657212294.5,693273369671.0,-0.0016344035539536323,-0.0033488326414258854,,0.0,-0.0002865456336427195,0.5104814580860096,1.042823538593769,,1.4642045050912145,0.10121489969556563,0.0,0.003769260632691648,3773936842.0,0.003769260632691648,27.627584201968308,-1.0,,0.0014980511669646936,-0.0010521760356794303,-0.0030764504009928497
PVR,2017,1,996026541281.0,744382300287.0,693431199139.0,508608749327.0,508608749327.0,487417791954.0,156000000.0,0.0,-421204729.0,0.0,-421204729.0,213851823.0,0.0,996297763374.5,487628394318.5,693412442903.0,-0.00042276992329417953,-0.0008637822036361676,-2.700030314102564,0.000156579695081942,0.0,0.5106377473364043,1.0434759619423164,,1.4635656607794885,0.1001773980794066,0.0,0.00021464649511575274,213851823.0,0.00021464649511575274,27.627039742048453,,,-0.0016344035539536323,0.0014980511669646936,-0.0007438182908210545
PVR,2017,2,1044795011992.0,794636743715.0,693431199139.0,559669297612.0,559669297612.0,485125714380.0,0.0,0.0,-2292077574.0,0.0,-2292077574.0,50296048215.0,-120000000.0,1020410776636.5,486271753167.0,693431199139.0,-0.002246230269691188,-0.004713573344682502,,0.0,0.0,0.5356737840324657,1.1536582807762894,,1.4198326531499232,0.18083097466275955,120000000.0,0.04929000101389258,50176048215.0,0.049172401315077614,27.674841821330077,-1.0,,-0.00042276992329417953,-0.0016344035539536323,-0.0010521760356794303
PVR,2017,3,984176111914.0,733385221682.0,691125944071.0,498134576507.0,498134576507.0,486041535407.0,48050380298.0,-45518370292.0,1422223028.0,0.0,915821027.0,-45726784886.0,0.0,1014485561953.0,485583624893.5,692278571605.0,0.0009027442689642034,0.001886021233110695,0.01905959997236732,0.04736428205591961,-0.06575152281034614,0.5061437383785315,1.0248806742203083,,1.4722632322064761,0.0848350618568357,0.0,-0.04507386462747754,-45726784886.0,-0.04507386462747754,27.615070693506816,,0.2965744654849405,-0.002246230269691188,-0.00042276992329417953,0.0014980511669646936
PVR,2017,4,980498798479.0,732462716518.0,691235216791.0,499371763007.0,499371763007.0,481127035472.0,0.0,0.0,-3862922652.0,0.0,-4914499935.0,-803484038.0,-680727273.0,982337455196.5,483584285439.5,691180580431.0,-0.005002863230962661,-0.010162654335497096,,0.0,0.0,0.5093037990272411,1.0379208113239808,,1.4667683893607188,0.08255873235351933,680727273.0,-0.0008179307769948328,-1484211311.0,-0.0015108976076893136,27.61132725716544,-1.0,,0.0009027442689642034,-0.002246230269691188,-0.0016344035539536323
PVR,2018,1,979507796814.0,727879786680.0,691585740315.0,500081663006.0,500081663006.0,479426133808.0,0.0,0.0,-1700901664.0,0.0,-1700901664.0,-2604600243.0,0.0,980003297646.5,480276584640.0,691410478553.0,-0.0017356081026306275,-0.003541504454719444,,0.0,0.0,0.5105438309246672,1.043083861603323,,1.4555218487810597,0.07257623914229493,0.0,-0.0026577464068284324,-2604600243.0,-0.0026577464068284324,27.610316034293202,,-1.0,-0.005002863230962661,0.0009027442689642034,-0.00042276992329417953
PVR,2018,2,980571681383.0,727575331855.0,691752217573.0,502844208872.0,502844208872.0,477727472511.0,0.0,0.0,-1698661297.0,-31900000.0,-1698661297.0,-977871806.0,-1117698000.0,980039739098.5,478576803159.5,691668978944.0,-0.0017332575703129464,-0.0035494016546261027,,0.0,0.0,0.5128071903553115,1.0525754489876478,53.24957043887147,1.4469199784305475,0.07124098010865,1117698000.0,-0.000997787913069225,-2095569806.0,-0.0021382498304891515,27.61140158687952,,,-0.0017356081026306275,-0.005002863230962661,-0.002246230269691188
PVR,2018,3,1017234195050.0,727768972916.0,691835087573.0,540986353524.0,540986353524.0,476247841526.0,0.0,0.0,-1479630985.0,0.0,-1479630985.0,-1325901052.0,-36490726700.0,998902938216.5,476987657018.5,691793652573.0,-0.0014812560143649394,-0.0031020320195468127,,0.0,0.0,0.5318208492759221,1.135934499546631,,1.3452630887549988,0.06642290532640183,36490726700.0,-0.0013273572449064388,-37816627752.0,-0.03785816049307056,27.64810848676969,,-1.0,-0.0017332575703129464,-0.0017356081026306275,0.0009027442689642034
PVR,2018,4,1026910491110.0,728330038080.0,692136497596.0,551030700097.0,503976384297.0,475879791013.0,0.0,0.0,-304288908.0,-181355911.0,-368050513.0,0.0,0.0,1022072343080.0,476063816269.5,691985792584.5,-0.0003601022134019253,-0.0007731117140640792,,0.0,0.0,0.536590778716638,1.1579199421854562,1.6778549225230381,1.4451669974495975,0.07181594537308848,0.0,0.0,0.0,0.0,27.657575887390227,,,-0.0014812560143649394,-0.0017332575703129464,-0.005002863230962661
PVR,2019,1,1036922336152.0,729909715415.0,692416737121.0,564138460397.0,507044144597.0,472783875755.0,0.0,0.0,-2819190907.0,-211383556.0,-3095915258.0,-8160605848.0,-33371926.0,1031916413631.0,474331833384.0,692276617358.5,-0.0030001608823203188,-0.006526897501086906,,0.0,0.0,0.5440508326694047,1.1932269464480227,13.33685060629787,1.4395387920220124,0.07394420918478314,33371926.0,-0.007908204327601797,-8193977774.0,-0.007940544084542549,27.667278149557447,,,-0.0003601022134019253,-0.0014812560143649394,-0.0017356081026306275
PVR,2019,2,1039355488718.0,728155906568.0,692941067160.0,564583470215.0,507562072543.0,474772018503.0,0.0,0.0,2243264915.0,-328337745.0,2243264915.0,3975191247.0,-6786086437.0,1038138912435.0,473777947129.0,692678902140.5,0.002160852356201854,0.004734844516494992,,0.0,0.0,0.5432053578813436,1.1891675334936203,-6.832187127922195,1.434614495365612,0.06938036018248121,6786086437.0,0.0038291515705504344,-2810895190.0,-0.0027076291586131986,27.669621914588,,,-0.0030001608823203188,-0.0003601022134019253,-0.0017332575703129464
PVR,2019,3,1041425337207.0,729741820627.0,692447723596.0,567002722790.0,506757655118.0,474422614417.0,1924336333.0,-902503301.0,-346097663.0,-397851994.0,-349404086.0,-3075987336.0,0.0,1040390412962.5,474597316460.0,692694395378.0,-0.0003358393941799942,-0.0007362116764717283,-0.18157121497326112,0.0018496290517715113,-0.0013028881235678373,0.5444487497400873,1.1951426967425829,0.8699156174142488,1.440021306549533,0.0735935543436753,0.0,-0.002956570242935208,-3075987336.0,-0.002956570242935208,27.671611407326427,,,0.002160852356201854,-0.0030001608823203188,-0.0014812560143649394
PVR,2019,4,1042397997283.0,728086046857.0,692470761096.0,567336468001.0,506551400329.0,475061529282.0,0.0,189048820.0,723004700.0,-360379892.0,279139987.0,-694072881.0,0.0,1041911667245.0,474742071849.5,692459242346.0,0.0002679113746159459,0.0005879824088742051,,0.0,0.00027301075419185216,0.5442608960106954,1.1942378682156451,-2.00622930426984,1.4373389282590385,0.07030932248507897,0.0,-0.0006661532861372522,-694072881.0,-0.0006661532861372522,27.672544941499446,-1.0,,-0.0003358393941799942,0.002160852356201854,-0.0003601022134019253
PVR,2020,1,1043040149640.0,728137337536.0,692488824846.0,569298482262.0,507463414590.0,473741667378.0,0.0,-266027677.0,-1319861904.0,-413714182.0,-1319861904.0,-1050675152.0,0.0,1042719073461.5,474401598330.0,692479792971.0,-0.0012657885883092872,-0.002782161587663722,,0.0,-0.0003841667001698934,0.5458068727828842,1.2017065870791452,3.1902747389984323,1.4348568125335524,0.07024843893190184,0.0,-0.0010076301265997641,-1050675152.0,-0.0010076301265997641,27.673160785587886,,,0.0002679113746159459,-0.0003358393941799942,-0.0030001608823203188
PVR,2020,2,1045102855377.0,727902746572.0,692534728846.0,571416916698.0,509061849026.0,473685938679.0,393000000.0,-254782893.0,-55556036.0,-431463516.0,-55728699.0,-536964384.0,0.0,1044071502508.5,473713803028.5,692511776846.0,-5.3376324194373175e-05,-0.00011764212620303825,-0.14180330534351146,0.000376411001598811,-0.0003679112782173787,0.5467566314244474,1.20632020087307,0.12876183950626313,1.4298905878818329,0.06947685785856957,0.0,-0.0005142984773647037,-536964384.0,-0.0005142984773647037,27.675136422699868,,,-0.0012657885883092872,0.0002679113746159459,0.002160852356201854
PVR,2020,3,1000576464827.0,726877967746.0,692595268246.0,528328540248.0,501714652137.0,472247924579.0,0.0,0.0,-1442082800.0,-572312410.0,-1438014100.0,766703341.0,0.0,1022839660102.0,472966931629.0,692564998546.0,-0.0014059037365217123,-0.003040411504134485,,0.0,0.0,0.528024152896049,1.1187524873063122,2.5197475623497314,1.448787601976424,0.06833107096628831,0.0,0.0007495831173808244,766703341.0,0.0007495831173808244,27.631597414663528,-1.0,-1.0,-5.3376324194373175e-05,-0.0012657885883092872,-0.0003358393941799942
PVR,2020,4,998469110800.0,726533909570.0,692622568246.0,529702394163.0,503088506052.0,468766716637.0,0.0,0.0,-3481207942.0,-555188659.0,-3481207942.0,0.0,0.0,999522787813.5,470507320608.0,692608918246.0,-0.0034828700100127735,-0.00739883906057297,,0.0,0.0,0.5305145531628799,1.1299914762787797,6.270315298353384,1.4441473037646866,0.0674063130364876,0.0,0.0,0.0,0.0,27.62948905372036,,,-0.0014059037365217123,-5.3376324194373175e-05,0.0002679113746159459
PVR,2021,1,1005206378654.0,733051036466.0,698511396246.0,537379149924.0,511715261813.0,467827228730.0,0.0,0.0,-1242648884.0,-485661351.0,-1242648884.0,-4579111853.0,0.0,1001837744727.0,468296972683.5,695566982246.0,-0.001240369401672544,-0.0026535488300921564,,0.0,0.0,0.5345958415460574,1.1486701006754374,2.5586736137049537,1.4325369813454663,0.06749777229161885,0.0,-0.004570712051029585,-4579111853.0,-0.004570712051029585,27.6362139882523,,,-0.0034828700100127735,-0.0014059037365217123,-0.0012657885883092872
PVR,2021,2,993894689570.0,727444733337.0,692664848246.0,524845149283.0,513111709172.0,469049540287.0,7121391800.0,-5859373000.0,1300314488.0,-567098034.0,1222311557.0,3081704633.0,-343934335.0,999550534112.0,468438384508.5,695588122246.0,0.0012228611913912893,0.002609332619662428,0.17163941983925107,0.007124594061996715,-0.008423624286568522,0.5280691755281133,1.1189546182304326,-2.292927166099116,1.4177122063943264,0.06778228691589154,343934335.0,0.003083090376954062,2737770298.0,0.0027390013856900524,27.62489709188366,,17.12058982188295,-0.001240369401672544,-0.0034828700100127735,-5.3376324194373175e-05
PVR,2021,3,994008934477.0,727469773555.0,692664848246.0,525789727518.0,516396287407.0,468219206959.0,0.0,0.0,-830333328.0,-519467873.0,-830333328.0,0.0,0.0,993951812023.5,468634373623.0,692664848246.0,-0.0008353858989497657,-0.0017718148192603007,,0.0,0.0,0.5289587540726135,1.1229563411823924,1.598430569353035,1.4087432293672582,0.06739964278939199,0.0,0.0,0.0,0.0,27.625012031970034,-1.0,,0.0012228611913912893,-0.001240369401672544,-0.0014059037365217123
PVR,2021,4,998328299476.0,728031731800.0,692664848246.0,526952366671.0,518558926560.0,471375932805.0,0.0,0.0,3223950458.0,-539594490.0,3156725846.0,-828592129.0,0.0,996168616976.5,469797569882.0,692664848246.0,0.003168866989186097,0.0067193320024896705,,0.0,0.0,0.5278347482963124,1.1179025698984741,-5.974765342766936,1.4039517873688805,0.06820224615284463,0.0,-0.0008317789929127499,-828592129.0,-0.0008317789929127499,27.629348016554037,,,-0.0008353858989497657,0.0012228611913912893,-0.0034828700100127735
PVR,2022,1,1003427122368.0,740772048132.0,692664848246.0,527909183540.0,509592073429.0,475517938828.0,0.0,0.0,4728318250.0,-820516869.0,4728318250.0,11726251086.0,0.0,1000877710922.0,473446935816.5,692664848246.0,0.004724171792820037,0.009987007819251397,,0.0,0.0,0.5261061533738302,1.1101772203192328,-5.762609433932308,1.4536569282709018,0.09440335200328158,0.0,0.011715967853053575,11726251086.0,0.011715967853053575,27.634442379095667,,,0.003168866989186097,-0.0008353858989497657,-0.001240369401672544
PVR,2022,2,988371223576.0,726133230553.0,692664848246.0,514720226420.0,512016694725.0,473650997156.0,0.0,0.0,-1866941672.0,-215184202.0,-1866941672.0,-13237398023.0,0.0,995899172972.0,474584467992.0,692664848246.0,-0.0018746292020994475,-0.003933844864116941,,0.0,0.0,0.520776216609893,1.0867077859238066,8.67601642986784,1.4181827234031896,0.06536580281815928,0.0,-0.013291905829679982,-13237398023.0,-0.013291905829679982,27.619324196488922,,-1.0,0.004724171792820037,0.003168866989186097,0.0012228611913912893
PVR,2022,3,987557979987.0,726294248370.0,692664848246.0,514822838009.0,500887529264.0,472735141978.0,0.0,0.0,-915855178.0,0.0,-915855178.0,12792044609.0,0.0,987964601781.5,473193069567.0,692664848246.0,-0.0009270121382370663,-0.0019354788497601251,,0.0,0.0,0.5213089747052391,1.0890301826407454,,1.45001463589483,0.06713962348676311,0.0,0.012947877470441103,12792044609.0,0.012947877470441103,27.61850104590898,,,-0.0018746292020994475,0.004724171792820037,-0.0008353858989497657
PVR,2022,4,982525552385.0,726218356526.0,692664848246.0,515760130137.0,515760130137.0,466765422248.0,0.0,0.0,-5547370048.0,-371017760.0,-5547370048.0,-15653226.0,0.0,985041766186.0,469750282113.0,692664848246.0,-0.005631608971748433,-0.01180918939111049,,0.0,0.0,0.5249330451356046,1.104966446856829,14.951764163526835,1.4080544696874815,0.06505642123032516,0.0,-1.5890926189463003e-05,-15653226.0,-1.5890926189463003e-05,27.61339218786818,,,-0.0009270121382370663,-0.0018746292020994475,0.003168866989186097
PVR,2023,1,982701729746.0,726237309645.0,692664848246.0,515963816487.0,515963816487.0,466737913259.0,0.0,0.0,-225508989.0,-360966350.0,-225508989.0,-36165263.0,0.0,982613641065.5,466751667753.5,692664848246.0,-0.00022949914348376912,-0.00048314554522190884,,0.0,0.0,0.5250462076833443,1.105467976415886,0.6247368736725737,1.4075353473227477,0.0650674724200275,0.0,-3.6805170912123807e-05,-36165263.0,-3.6805170912123807e-05,27.613571482510658,,,-0.005631608971748433,-0.0009270121382370663,0.004724171792820037
PVR,2023,2,983444496810.0,724763572467.0,692664848246.0,514963985028.0,501118676283.0,468480511782.0,0.0,0.0,1742598523.0,-362968541.0,1742598523.0,-1448131009.0,0.0,983073113278.0,467609212520.5,692664848246.0,0.0017726031761660197,0.0037266128988500294,,0.0,0.0,0.5236329927091862,1.0992217863432285,-4.800962965548026,1.4462912814243218,0.0640541367547688,0.0,-0.0014730654205070176,-1448131009.0,-0.0014730654205070176,27.614327038826158,,,-0.00022949914348376912,-0.005631608971748433,-0.0018746292020994475
PVR,2023,3,983757290638.0,724533902053.0,692664848246.0,515353839775.0,501468531030.0,468403450863.0,0.0,0.0,-65560919.0,-372254747.0,-77060919.0,-24486648.0,0.0,983600893724.0,468441981322.5,692664848246.0,-7.834571876835181e-05,-0.00016450472432560912,,0.0,0.0,0.5238627908320512,1.1002349338492217,0.17611842301100328,1.4448242655722205,0.06355145305238198,0.0,-2.4894902146023256e-05,-24486648.0,-2.4894902146023256e-05,27.614645047718415,,,0.0017726031761660197,-0.00022949914348376912,-0.0009270121382370663
PVR,2023,4,976099493112.0,723352740285.0,692789993846.0,515709281604.0,501823972859.0,460390211508.0,0.0,0.0,-7891529105.0,-372645979.0,-8013239355.0,-6747368.0,0.0,979928391875.0,464396831185.5,692727421046.0,-0.008177372368676274,-0.017255155110649685,,0.0,0.0,0.528336798905423,1.120156920614805,21.177013974971672,1.4414471595764997,0.06090332086942241,0.0,-6.885572513201247e-06,-6747368.0,-6.885572513201247e-06,27.606830357827942,,,-7.834571876835181e-05,0.0017726031761660197,-0.005631608971748433
PVR,2024,1,976195905813.0,723449388744.0,692789993846.0,516235512263.0,502022211183.0,459960393550.0,0.0,0.0,-429817958.0,-369360641.0,-429817958.0,-45550938.0,0.0,976147699462.5,460175302529.0,692789993846.0,-0.00044032061770639044,-0.0009340309130842873,,0.0,0.0,0.5288236809732021,1.1223477488543427,1.1636809943699442,1.4410704798084801,0.061071789683870906,0.0,-4.666398130639645e-05,-45550938.0,-4.666398130639645e-05,27.606929126386362,,,-0.008177372368676274,-7.834571876835181e-05,-0.00022949914348376912
PVR,2024,2,976110805370.0,723364445468.0,692789993846.0,516561423378.0,502525862298.0,459549381992.0,0.0,0.0,-411011558.0,-372528798.0,-411011558.0,-105064397.0,0.0,976153355591.5,459754887771.0,692789993846.0,-0.0004210522410702032,-0.0008939797464528999,,0.0,0.0,0.5292036729192795,1.1240607508574398,1.1033014365777971,1.4394571498472286,0.060841548496998986,0.0,-0.00010763103604385628,-105064397.0,-0.00010763103604385628,27.606841947007663,,,-0.00044032061770639044,-0.008177372368676274,0.0017726031761660197
PVR,2024,3,976136103239.0,723389743337.0,692789993846.0,517123464869.0,502915726514.0,459012638370.0,0.0,0.0,-536743622.0,-383644190.0,-536743622.0,-171603213.0,0.0,976123454304.5,459281010181.0,692789993846.0,-0.0005498726822238243,-0.0011686606023368405,,0.0,0.0,0.5297657397908845,1.1265996219741516,1.3990662076753984,1.4383915737756563,0.060844686053276906,0.0,-0.0001758007270937562,-171603213.0,-0.0001758007270937562,27.60686786367721,,,-0.0004210522410702032,-0.00044032061770639044,-7.834571876835181e-05
PVR,2024,4,976148520845.0,723402160943.0,692821280246.0,517596868384.0,503158519141.0,458551652461.0,0.0,0.0,-460985107.0,-374992003.0,-460985909.0,-242101438.0,0.0,976142312042.0,458782145415.5,692805637046.0,-0.00047225276818055334,-0.0010048035077356904,,0.0,0.0,0.5302439714152759,1.128764590872392,1.229319834321907,1.437722175862198,0.060777825543345966,0.0,-0.0002480185880822501,-242101438.0,-0.0002480185880822501,27.606880584779294,,,-0.0005498726822238243,-0.0004210522410702032,-0.008177372368676274
PVR,2025,1,976170675381.0,723424315479.0,692821280246.0,518001626137.0,503527812694.0,458169049244.0,0.0,0.0,-382603217.0,-321996293.0,-382603217.0,-35977365.0,0.0,976159598113.0,458360350852.5,692821280246.0,-0.0003919474005476202,-0.0008347214506848159,,0.0,0.0,0.53064657564603,1.1305906127699514,1.1882224277656512,1.436711731192163,0.06077724896518842,0.0,-3.685602750774292e-05,-35977365.0,-3.685602750774292e-05,27.60690328038772,,,-0.00047225276818055334,-0.0005498726822238243,-0.00044032061770639044
PVR,2025,2,976151625071.0,723405265169.0,692821280246.0,518339878358.0,503807267655.0,457811746713.0,0.0,0.0,-357302531.0,-326752221.0,-357302531.0,-59443876.0,0.0,976161150226.0,457990397978.5,692821280246.0,-0.00036602822281677324,-0.000780152886560677,,0.0,0.0,0.5310034476665434,1.132211836152262,1.0934968702171424,1.4358769942643574,0.06070572396733164,0.0,-6.089555601166631e-05,-59443876.0,-6.089555601166631e-05,27.60688376484974,,,-0.0003919474005476202,-0.00047225276818055334,-0.0004210522410702032
PVR,2025,3,976151178196.0,723404818294.0,692821280246.0,518686226663.0,504138615960.0,457464951533.0,0.0,0.0,-346795180.0,-331348305.0,-346795180.0,-15350569.0,0.0,976151401633.5,457638349123.0,692821280246.0,-0.00035526781954077003,-0.000757793092874722,,0.0,0.0,0.5313585008641497,1.1338272471472248,1.0466182405852356,1.4349323685837176,0.060664938332013425,0.0,-1.5725602580001656e-05,-15350569.0,-1.5725602580001656e-05,27.60688330705703,,,-0.00036602822281677324,-0.0003919474005476202,-0.0005498726822238243
